,word,root,part_of_speech
2194,discouragement,discourage,noun
2195,encouraging,discourage,adjective
2196,discouraging,discourage,adjective
2197,encouraged,discourage,adjective
2198,encourage,discourage,verb
2199,discourage,discourage,verb
2200,discoverer,discover,noun
2201,discovery,discover,noun
2202,discover,discover,verb
2203,discoverer,discovery,noun
2204,discovery,discovery,noun
2205,discover,discovery,verb
2206,honesty,dishonest,noun
2207,dishonesty,dishonest,noun
2208,honest,dishonest,adjective
2209,dishonest,dishonest,adjective
2210,honestly,dishonest,adverb
2211,dishonestly,dishonest,adverb
2212,honesty,dishonestly,noun
2213,dishonesty,dishonestly,noun
2214,honest,dishonestly,adjective
2215,dishonest,dishonestly,adjective
2216,honestly,dishonestly,adverb
2217,dishonestly,dishonestly,adverb
2218,honesty,dishonesty,noun
2219,dishonesty,dishonesty,noun
2220,honest,dishonesty,adjective
2221,dishonest,dishonesty,adjective
2222,honestly,dishonesty,adverb
2223,dishonestly,dishonesty,adverb
2224,liking,dislike,noun
2225,dislike,dislike,noun
2226,likeable,dislike,adjective
2227,like,dislike,verb
2228,dislike,dislike,verb
2229,order,disorder,noun
2230,disorder,disorder,noun
2231,orderly,disorder,adjective
2232,disorderly,disorder,adjective
2233,disordered,disorder,adjective
2234,order,disorder,verb
2235,organization,disorganized,noun
2236,disorganization,disorganized,noun
2237,reorganization,disorganized,noun
2238,organizer,disorganized,noun
2239,organizational,disorganized,adjective
2240,organized,disorganized,adjective
2241,disorganized,disorganized,adjective
2242,organize,disorganized,verb
2243,reorganize,disorganized,verb
2244,disorganize,disorganized,verb
2245,place,displace,noun
2246,placement,displace,noun
2247,replacement,displace,noun
2248,displacement,displace,noun
2249,misplaced,displace,adjective
2250,place,displace,verb
2251,displace,displace,verb
2252,replace,displace,verb
2253,place,displacement,noun
2254,placement,displacement,noun
2255,replacement,displacement,noun
2256,displacement,displacement,noun
2257,misplaced,displacement,adjective
2258,place,displacement,verb
2259,displace,displacement,verb
2260,replace,displacement,verb
2261,qualification,disqualify,noun
2262,disqualification,disqualify,noun
2263,qualifier,disqualify,noun
2264,qualified,disqualify,adjective
2265,unqualified,disqualify,adjective
2266,qualify,disqualify,verb
2267,disqualify,disqualify,verb
2268,respect,disrespect,noun
2269,disrespect,disrespect,noun
2270,respectability,disrespect,noun
2271,respectable,disrespect,adjective
2272,respectful,disrespect,adjective
2273,disrespectful,disrespect,adjective
2274,respective,disrespect,adjective
2275,respected,disrespect,adjective
2276,respect,disrespect,verb
2277,respectfully,disrespect,adverb
2278,disrespectfully,disrespect,adverb
2279,respectively,disrespect,adverb
2280,respectably,disrespect,adverb
2281,respect,disrespectful,noun
2282,disrespect,disrespectful,noun
2283,respectability,disrespectful,noun
2284,respectable,disrespectful,adjective
2285,respectful,disrespectful,adjective
2286,disrespectful,disrespectful,adjective
2287,respective,disrespectful,adjective
2288,respected,disrespectful,adjective
2289,respect,disrespectful,verb
2290,respectfully,disrespectful,adverb
2291,disrespectfully,disrespectful,adverb
2292,respectively,disrespectful,adverb
2293,respectably,disrespectful,adverb
2294,satisfaction,dissatisfaction,noun
2295,dissatisfaction,dissatisfaction,noun
2296,satisfactory,dissatisfaction,adjective
2297,unsatisfactory,dissatisfaction,adjective
2298,dissatisfied,dissatisfaction,adjective
2299,satisfying,dissatisfaction,adjective
2300,satisfied,dissatisfaction,adjective
2301,unsatisfied,dissatisfaction,adjective
2302,satisfy,dissatisfaction,verb
2303,satisfactorily,dissatisfaction,adverb
2304,unsatisfactorily,dissatisfaction,adverb
2305,satisfaction,dissatisfied,noun
2306,dissatisfaction,dissatisfied,noun
2307,satisfactory,dissatisfied,adjective
2308,unsatisfactory,dissatisfied,adjective
2309,dissatisfied,dissatisfied,adjective
2310,satisfying,dissatisfied,adjective
2311,satisfied,dissatisfied,adjective
2312,unsatisfied,dissatisfied,adjective
2313,satisfy,dissatisfied,verb
2314,satisfactorily,dissatisfied,adverb
2315,unsatisfactorily,dissatisfied,adverb
2316,distance,distance,noun
2317,distant,distance,adjective
2318,distance,distance,verb
2319,distance,distant,noun
2320,distant,distant,adjective
2321,distance,distant,verb
2322,disturbance,disturb,noun
2323,disturbed,disturb,adjective
2324,disturbing,disturb,adjective
2325,undisturbed,disturb,adjective
2326,disturb,disturb,verb
2327,disturbance,disturbance,noun
2328,disturbed,disturbance,adjective
2329,disturbing,disturbance,adjective
2330,undisturbed,disturbance,adjective
2331,disturb,disturbance,verb
2332,disturbance,disturbed,noun
2333,disturbed,disturbed,adjective
2334,disturbing,disturbed,adjective
2335,undisturbed,disturbed,adjective
2336,disturb,disturbed,verb
2337,disturbance,disturbing,noun
2338,disturbed,disturbing,adjective
2339,disturbing,disturbing,adjective
2340,undisturbed,disturbing,adjective
2341,disturb,disturbing,verb
2342,division,divide,noun
2343,subdivision,divide,noun
2344,divide,divide,noun
2345,undivided,divide,adjective
2346,divisible,divide,adjective
2347,divisive,divide,adjective
2348,divide,divide,verb
2349,subdivide,divide,verb
2350,division,division,noun
2351,subdivision,division,noun
2352,divide,division,noun
2353,undivided,division,adjective
2354,divisible,division,adjective
2355,divisive,division,adjective
2356,divide,division,verb
2357,subdivide,division,verb
2358,divorce,divorce,noun
2359,divorcee,divorce,noun
2360,divorce,divorce,verb
2361,doing,do,noun
2362,do,do,noun
2363,done,do,adjective
2364,overdone,do,adjective
2365,undone,do,adjective
2366,do,do,verb
2367,outdo,do,verb
2368,overdo,do,verb
2369,undo,do,verb
2370,redo,do,verb
2371,doubt,doubt,noun
2372,doubter,doubt,noun
2373,doubtful,doubt,adjective
2374,undoubted,doubt,adjective
2375,doubt,doubt,verb
2376,undoubtedly,doubt,adverb
2377,doubtfully,doubt,adverb
2378,doubt,doubtful,noun
2379,doubter,doubtful,noun
2380,doubtful,doubtful,adjective
2381,undoubted,doubtful,adjective
2382,doubt,doubtful,verb
2383,undoubtedly,doubtful,adverb
2384,doubtfully,doubtful,adverb
2385,dream,dream,noun
2386,dreamer,dream,noun
2387,dream,dream,adjective
2388,dreamy,dream,adjective
2389,dreamless,dream,adjective
2390,dream,dream,verb
2391,dreamily,dream,adverb
2392,dress,dress,noun
2393,dresser,dress,noun
2394,dressing,dress,noun
2395,dressed,dress,adjective
2396,undressed,dress,adjective
2397,dressy,dress,adjective
2398,dress,dress,verb
2399,undress,dress,verb
2400,redress,dress,verb
2401,dress,dressed,noun
2402,dresser,dressed,noun
2403,dressing,dressed,noun
2404,dressed,dressed,adjective
2405,undressed,dressed,adjective
2406,dressy,dressed,adjective
2407,dress,dressed,verb
2408,undress,dressed,verb
2409,redress,dressed,verb
2410,drink,drink,noun
2411,drinker,drink,noun
2412,drinking,drink,noun
2413,drunk,drink,noun
2414,drunkenness,drink,noun
2415,drunk,drink,adjective
2416,drunken,drink,adjective
2417,drink,drink,verb
2418,drive,drive,noun
2419,driver,drive,noun
2420,driving,drive,noun
2421,driving licence,drive,noun
2422,driving,drive,adjective
2423,drive,drive,verb
2424,drive,driver,noun
2425,driver,driver,noun
2426,driving,driver,noun
2427,driving licence,driver,noun
2428,driving,driver,adjective
2429,drive,driver,verb
2430,drive,driving licence,noun
2431,driver,driving licence,noun
2432,driving,driving licence,noun
2433,driving licence,driving licence,noun
2434,driving,driving licence,adjective
2435,drive,driving licence,verb
2436,drink,drunk,noun
2437,drinker,drunk,noun
2438,drinking,drunk,noun
2439,drunk,drunk,noun
2440,drunkenness,drunk,noun
2441,drunk,drunk,adjective
2442,drunken,drunk,adjective
2443,drink,drunk,verb
2444,due,due,noun
2445,due,due,adjective
2446,undue,due,adjective
2447,due,due,adverb
2448,duly,due,adverb
2449,unduly,due,adverb
2450,earner,earn,noun
2451,earn,earn,verb
2452,earth,earth,noun
2453,earthy,earth,adjective
2454,earthly,earth,adjective
2455,unearthly,earth,adjective
2456,unearth,earth,verb
2457,ease,ease,noun
2458,easiness,ease,noun
2459,easy,ease,adjective
2460,uneasy,ease,adjective
2461,ease,ease,verb
2462,easily,ease,adverb
2463,uneasily,ease,adverb
2464,ease,easily,noun
2465,easiness,easily,noun
2466,easy,easily,adjective
2467,uneasy,easily,adjective
2468,ease,easily,verb
2469,easily,easily,adverb
2470,uneasily,easily,adverb
2471,east,east,noun
2472,easterner,east,noun
2473,east,east,adjective
2474,easterly,east,adjective
2475,eastern,east,adjective
2476,east,east,adverb
2477,eastward(s),east,adverb
2478,east,eastern,noun
2479,easterner,eastern,noun
2480,east,eastern,adjective
2481,easterly,eastern,adjective
2482,eastern,eastern,adjective
2483,east,eastern,adverb
2484,eastward(s),eastern,adverb
2485,ease,easy,noun
2486,easiness,easy,noun
2487,easy,easy,adjective
2488,uneasy,easy,adjective
2489,ease,easy,verb
2490,easily,easy,adverb
2491,uneasily,easy,adverb
2492,economics,economic,noun
2493,economist,economic,noun
2494,economy,economic,noun
2495,economic,economic,adjective
2496,economical,economic,adjective
2497,uneconomic(al),economic,adjective
2498,economize,economic,verb
2499,economically,economic,adverb
2500,economics,economical,noun
2501,economist,economical,noun
2502,economy,economical,noun
2503,economic,economical,adjective
2504,economical,economical,adjective
2505,uneconomic(al),economical,adjective
2506,economize,economical,verb
2507,economically,economical,adverb
2508,economics,economics,noun
2509,economist,economics,noun
2510,economy,economics,noun
2511,economic,economics,adjective
2512,economical,economics,adjective
2513,uneconomic(al),economics,adjective
2514,economize,economics,verb
2515,economically,economics,adverb
2516,economics,economist,noun
2517,economist,economist,noun
2518,economy,economist,noun
2519,economic,economist,adjective
2520,economical,economist,adjective
2521,uneconomic(al),economist,adjective
2522,economize,economist,verb
2523,economically,economist,adverb
2524,economics,economy,noun
2525,economist,economy,noun
2526,economy,economy,noun
2527,economic,economy,adjective
2528,economical,economy,adjective
2529,uneconomic(al),economy,adjective
2530,economize,economy,verb
2531,economically,economy,adverb
2532,education,educate,noun
2533,educated,educate,adjective
2534,uneducated,educate,adjective
2535,educational,educate,adjective
2536,educate,educate,verb
2537,educationally,educate,adverb
2538,education,educated,noun
2539,educated,educated,adjective
2540,uneducated,educated,adjective
2541,educational,educated,adjective
2542,educate,educated,verb
2543,educationally,educated,adverb
2544,education,education,noun
2545,educated,education,adjective
2546,uneducated,education,adjective
2547,educational,education,adjective
2548,educate,education,verb
2549,educationally,education,adverb
2550,education,educational,noun
2551,educated,educational,adjective
2552,uneducated,educational,adjective
2553,educational,educational,adjective
2554,educate,educational,verb
2555,educationally,educational,adverb
2556,effect,effect,noun
2557,effectiveness,effect,noun
2558,ineffectiveness,effect,noun
2559,effective,effect,adjective
2560,ineffective,effect,adjective
2561,ineffectual,effect,adjective
2562,effect,effect,verb
2563,effectively,effect,adverb
2564,ineffectively,effect,adverb
2565,effect,effective,noun
2566,effectiveness,effective,noun
2567,ineffectiveness,effective,noun
2568,effective,effective,adjective
2569,ineffective,effective,adjective
2570,ineffectual,effective,adjective
2571,effect,effective,verb
2572,effectively,effective,adverb
2573,ineffectively,effective,adverb
2574,effect,effectively,noun
2575,effectiveness,effectively,noun
2576,ineffectiveness,effectively,noun
2577,effective,effectively,adjective
2578,ineffective,effectively,adjective
2579,ineffectual,effectively,adjective
2580,effect,effectively,verb
2581,effectively,effectively,adverb
2582,ineffectively,effectively,adverb
2583,effect,effectiveness,noun
2584,effectiveness,effectiveness,noun
2585,ineffectiveness,effectiveness,noun
2586,effective,effectiveness,adjective
2587,ineffective,effectiveness,adjective
2588,ineffectual,effectiveness,adjective
2589,effect,effectiveness,verb
2590,effectively,effectiveness,adverb
2591,ineffectively,effectiveness,adverb
2592,effort,effort,noun
2593,effortless,effort,adjective
2594,effortlessly,effort,adverb
2595,election,elect,noun
2596,re-election,elect,noun
2597,elector,elect,noun
2598,electoral,elect,adjective
2599,unelected,elect,adjective
2600,elect,elect,verb
2601,re-elect,elect,verb
2602,election,election,noun
2603,re-election,election,noun
2604,elector,election,noun
2605,electoral,election,adjective
2606,unelected,election,adjective
2607,elect,election,verb
2608,re-elect,election,verb
2609,electrician,electric,noun
2610,electricity,electric,noun
2611,electric,electric,adjective
2612,electrical,electric,adjective
2613,electrify,electric,verb
2614,electrically,electric,adverb
2615,electrician,electrical,noun
2616,electricity,electrical,noun
2617,electric,electrical,adjective
2618,electrical,electrical,adjective
2619,electrify,electrical,verb
2620,electrically,electrical,adverb
2621,electrician,electrician,noun
2622,electricity,electrician,noun
2623,electric,electrician,adjective
2624,electrical,electrician,adjective
2625,electrify,electrician,verb
2626,electrically,electrician,adverb
2627,electrician,electricity,noun
2628,electricity,electricity,noun
2629,electric,electricity,adjective
2630,electrical,electricity,adjective
2631,electrify,electricity,verb
2632,electrically,electricity,adverb
2633,electronics,electronic,noun
2634,electronic,electronic,adjective
2635,electronically,electronic,adverb
2636,electronics,electronically,noun
2637,electronic,electronically,adjective
2638,electronically,electronically,adverb
2639,electronics,electronics,noun
2640,electronic,electronics,adjective
2641,electronically,electronics,adverb
2642,embarrassment,embarrass,noun
2643,embarrassed,embarrass,adjective
2644,embarrassing,embarrass,adjective
2645,embarrass,embarrass,verb
2646,embarrassingly,embarrass,adverb
2647,embarrassment,embarrassed,noun
2648,embarrassed,embarrassed,adjective
2649,embarrassing,embarrassed,adjective
2650,embarrass,embarrassed,verb
2651,embarrassingly,embarrassed,adverb
2652,embarrassment,embarrassing,noun
2653,embarrassed,embarrassing,adjective
2654,embarrassing,embarrassing,adjective
2655,embarrass,embarrassing,verb
2656,embarrassingly,embarrassing,adverb
2657,embarrassment,embarrassment,noun
2658,embarrassed,embarrassment,adjective
2659,embarrassing,embarrassment,adjective
2660,embarrass,embarrassment,verb
2661,embarrassingly,embarrassment,adverb
2662,emotion,emotion,noun
2663,emotional,emotion,adjective
2664,emotive,emotion,adjective
2665,emotionally,emotion,adverb
2666,emotion,emotional,noun
2667,emotional,emotional,adjective
2668,emotive,emotional,adjective
2669,emotionally,emotional,adverb
2670,emotion,emotionally,noun
2671,emotional,emotionally,adjective
2672,emotive,emotionally,adjective
2673,emotionally,emotionally,adverb
2674,emphasis,emphasis,noun
2675,emphatic,emphasis,adjective
2676,emphasize,emphasis,verb
2677,emphatically,emphasis,adverb
2678,emphasis,emphasize,noun
2679,emphatic,emphasize,adjective
2680,emphasize,emphasize,verb
2681,emphatically,emphasize,adverb
2682,employee,employ,noun
2683,employer,employ,noun
2684,employment,employ,noun
2685,unemployment,employ,noun
2686,unemployed,employ,adjective
2687,employ,employ,verb
2688,employee,employee,noun
2689,employer,employee,noun
2690,employment,employee,noun
2691,unemployment,employee,noun
2692,unemployed,employee,adjective
2693,employ,employee,verb
2694,employee,employer,noun
2695,employer,employer,noun
2696,employment,employer,noun
2697,unemployment,employer,noun
2698,unemployed,employer,adjective
2699,employ,employer,verb
2700,employee,employment,noun
2701,employer,employment,noun
2702,employment,employment,noun
2703,unemployment,employment,noun
2704,unemployed,employment,adjective
2705,employ,employment,verb
2706,ability,enable,noun
2707,disability,enable,noun
2708,inability,enable,noun
2709,able,enable,adjective
2710,unable,enable,adjective
2711,disabled,enable,adjective
2712,enable,enable,verb
2713,disable,enable,verb
2714,ably,enable,adverb
2715,encouragement,encourage,noun
2716,discouragement,encourage,noun
2717,encouraging,encourage,adjective
2718,discouraging,encourage,adjective
2719,encouraged,encourage,adjective
2720,encourage,encourage,verb
2721,discourage,encourage,verb
2722,encouragement,encouragement,noun
2723,discouragement,encouragement,noun
2724,encouraging,encouragement,adjective
2725,discouraging,encouragement,adjective
2726,encouraged,encouragement,adjective
2727,encourage,encouragement,verb
2728,discourage,encouragement,verb
2729,encouragement,encouraging,noun
2730,discouragement,encouraging,noun
2731,encouraging,encouraging,adjective
2732,discouraging,encouraging,adjective
2733,encouraged,encouraging,adjective
2734,encourage,encouraging,verb
2735,discourage,encouraging,verb
2736,end,end,noun
2737,ending,end,noun
2738,unending,end,adjective
2739,endless,end,adjective
2740,end,end,verb
2741,endlessly,end,adverb
2742,danger,endangered,noun
2743,endangered,endangered,adjective
2744,dangerous,endangered,adjective
2745,endanger,endangered,verb
2746,dangerously,endangered,adverb
2747,end,ending,noun
2748,ending,ending,noun
2749,unending,ending,adjective
2750,endless,ending,adjective
2751,end,ending,verb
2752,endlessly,ending,adverb
2753,end,endless,noun
2754,ending,endless,noun
2755,unending,endless,adjective
2756,endless,endless,adjective
2757,end,endless,verb
2758,endlessly,endless,adverb
2759,energy,energetic,noun
2760,energetic,energetic,adjective
2761,energize,energetic,verb
2762,energetically,energetic,adverb
2763,energy,energy,noun
2764,energetic,energy,adjective
2765,energize,energy,verb
2766,energetically,energy,adverb
2767,enjoyment,enjoy,noun
2768,enjoyable,enjoy,adjective
2769,enjoy,enjoy,verb
2770,enjoyment,enjoyable,noun
2771,enjoyable,enjoyable,adjective
2772,enjoy,enjoyable,verb
2773,enjoyment,enjoyment,noun
2774,enjoyable,enjoyment,adjective
2775,enjoy,enjoyment,verb
2776,enormity,enormous,noun
2777,enormous,enormous,adjective
2778,enormously,enormous,adverb
2779,richness,enrich,noun
2780,enrichment,enrich,noun
2781,rich,enrich,adjective
2782,enrich,enrich,verb
2783,richly,enrich,adverb
2784,entrance,enter,noun
2785,entrant,enter,noun
2786,entry,enter,noun
2787,enter,enter,verb
2788,entertainer,entertain,noun
2789,entertainment,entertain,noun
2790,entertaining,entertain,adjective
2791,entertain,entertain,verb
2792,entertainingly,entertain,adverb
2793,entertainer,entertainer,noun
2794,entertainment,entertainer,noun
2795,entertaining,entertainer,adjective
2796,entertain,entertainer,verb
2797,entertainingly,entertainer,adverb
2798,entertainer,entertaining,noun
2799,entertainment,entertaining,noun
2800,entertaining,entertaining,adjective
2801,entertain,entertaining,verb
2802,entertainingly,entertaining,adverb
2803,entertainer,entertainment,noun
2804,entertainment,entertainment,noun
2805,entertaining,entertainment,adjective
2806,entertain,entertainment,verb
2807,entertainingly,entertainment,adverb
2808,enthusiasm,enthusiasm,noun
2809,enthusiast,enthusiasm,noun
2810,enthusiastic,enthusiasm,adjective
2811,enthuse,enthusiasm,verb
2812,enthusiastically,enthusiasm,adverb
2813,enthusiasm,enthusiastic,noun
2814,enthusiast,enthusiastic,noun
2815,enthusiastic,enthusiastic,adjective
2816,enthuse,enthusiastic,verb
2817,enthusiastically,enthusiastic,adverb
2818,enthusiasm,enthusiastically,noun
2819,enthusiast,enthusiastically,noun
2820,enthusiastic,enthusiastically,adjective
2821,enthuse,enthusiastically,verb
2822,enthusiastically,enthusiastically,adverb
2823,title,entitle,noun
2824,subtitles,entitle,noun
2825,titled,entitle,adjective
2826,entitle,entitle,verb
2827,entrance,entrance,noun
2828,entrant,entrance,noun
2829,entry,entrance,noun
2830,enter,entrance,verb
2831,entrance,entry,noun
2832,entrant,entry,noun
2833,entry,entry,noun
2834,enter,entry,verb
2835,environment,environment,noun
2836,environmentalist,environment,noun
2837,environmental,environment,adjective
2838,environmentally,environment,adverb
2839,environment,environmental,noun
2840,environmentalist,environmental,noun
2841,environmental,environmental,adjective
2842,environmentally,environmental,adverb
2843,environment,environmentalist,noun
2844,environmentalist,environmentalist,noun
2845,environmental,environmentalist,adjective
2846,environmentally,environmentalist,adverb
2847,environment,environmentally,noun
2848,environmentalist,environmentally,noun
2849,environmental,environmentally,adjective
2850,environmentally,environmentally,adverb
2851,equality,equal,noun
2852,inequality,equal,noun
2853,equal,equal,adjective
2854,unequal,equal,adjective
2855,equalize,equal,verb
2856,equally,equal,adverb
2857,unequally,equal,adverb
2858,equality,equality,noun
2859,inequality,equality,noun
2860,equal,equality,adjective
2861,unequal,equality,adjective
2862,equalize,equality,verb
2863,equally,equality,adverb
2864,unequally,equality,adverb
2865,equality,equally,noun
2866,inequality,equally,noun
2867,equal,equally,adjective
2868,unequal,equally,adjective
2869,equalize,equally,verb
2870,equally,equally,adverb
2871,unequally,equally,adverb
2872,escape,escape,noun
2873,escapism,escape,noun
2874,inescapable,escape,adjective
2875,escaped,escape,adjective
2876,escape,escape,verb
2877,inescapably,escape,adverb
2878,essence,essence,noun
2879,essential,essence,adjective
2880,essentially,essence,adverb
2881,essence,essential,noun
2882,essential,essential,adjective
2883,essentially,essential,adverb
2884,essence,essentially,noun
2885,essential,essentially,adjective
2886,essentially,essentially,adverb
2887,estimate,estimate,noun
2888,estimation,estimate,noun
2889,estimate,estimate,verb
2890,overestimate,estimate,verb
2891,underestimate,estimate,verb
2892,event,event,noun
2893,non-event,event,noun
2894,eventful,event,adjective
2895,uneventful,event,adjective
2896,eventual,event,adjective
2897,eventually,event,adverb
2898,event,eventful,noun
2899,non-event,eventful,noun
2900,eventful,eventful,adjective
2901,uneventful,eventful,adjective
2902,eventual,eventful,adjective
2903,eventually,eventful,adverb
2904,event,eventual,noun
2905,non-event,eventual,noun
2906,eventful,eventual,adjective
2907,uneventful,eventual,adjective
2908,eventual,eventual,adjective
2909,eventually,eventual,adverb
2910,event,eventually,noun
2911,non-event,eventually,noun
2912,eventful,eventually,adjective
2913,uneventful,eventually,adjective
2914,eventual,eventually,adjective
2915,eventually,eventually,adverb
2916,exam,exam,noun
2917,examination,exam,noun
2918,cross-examination,exam,noun
2919,examiner,exam,noun
2920,examine,exam,verb
2921,cross-examine,exam,verb
2922,exam,examination,noun
2923,examination,examination,noun
2924,cross-examination,examination,noun
2925,examiner,examination,noun
2926,examine,examination,verb
2927,cross-examine,examination,verb
2928,exam,examine,noun
2929,examination,examine,noun
2930,cross-examination,examine,noun
2931,examiner,examine,noun
2932,examine,examine,verb
2933,cross-examine,examine,verb
2934,exam,examiner,noun
2935,examination,examiner,noun
2936,cross-examination,examiner,noun
2937,examiner,examiner,noun
2938,examine,examiner,verb
2939,cross-examine,examiner,verb
2940,excellence,excel,noun
2941,excellent,excel,adjective
2942,excel,excel,verb
2943,excellently,excel,adverb
2944,excellence,excellent,noun
2945,excellent,excellent,adjective
2946,excel,excellent,verb
2947,excellently,excellent,adverb
2948,excitement,excited,noun
2949,excitable,excited,adjective
2950,excited,excited,adjective
2951,exciting,excited,adjective
2952,excite,excited,verb
2953,excitedly,excited,adverb
2954,excitingly,excited,adverb
2955,excitement,excitedly,noun
2956,excitable,excitedly,adjective
2957,excited,excitedly,adjective
2958,exciting,excitedly,adjective
2959,excite,excitedly,verb
2960,excitedly,excitedly,adverb
2961,excitingly,excitedly,adverb
2962,excitement,excitement,noun
2963,excitable,excitement,adjective
2964,excited,excitement,adjective
2965,exciting,excitement,adjective
2966,excite,excitement,verb
2967,excitedly,excitement,adverb
2968,excitingly,excitement,adverb
2969,excitement,exciting,noun
2970,excitable,exciting,adjective
2971,excited,exciting,adjective
2972,exciting,exciting,adjective
2973,excite,exciting,verb
2974,excitedly,exciting,adverb
2975,excitingly,exciting,adverb
2976,excuse,excuse,noun
2977,excusable,excuse,adjective
2978,inexcusable,excuse,adjective
2979,excuse,excuse,verb
2980,existence,exist,noun
2981,existing,exist,adjective
2982,non-existent,exist,adjective
2983,pre-existing,exist,adjective
2984,exist,exist,verb
2985,existence,existence,noun
2986,existing,existence,adjective
2987,non-existent,existence,adjective
2988,pre-existing,existence,adjective
2989,exist,existence,verb
2990,existence,existing,noun
2991,existing,existing,adjective
2992,non-existent,existing,adjective
2993,pre-existing,existing,adjective
2994,exist,existing,verb
2995,expectancy,expect,noun
2996,expectation,expect,noun
2997,expectant,expect,adjective
2998,unexpected,expect,adjective
2999,expect,expect,verb
3000,expectantly,expect,adverb
3001,unexpectedly,expect,adverb
3002,expectancy,expectation,noun
3003,expectation,expectation,noun
3004,expectant,expectation,adjective
3005,unexpected,expectation,adjective
3006,expect,expectation,verb
3007,expectantly,expectation,adverb
3008,unexpectedly,expectation,adverb
3009,expenditure,expenditure,noun
3010,expense,expenditure,noun
3011,expensive,expenditure,adjective
3012,inexpensive,expenditure,adjective
3013,expend,expenditure,verb
3014,expensively,expenditure,adverb
3015,expenditure,expense,noun
3016,expense,expense,noun
3017,expensive,expense,adjective
3018,inexpensive,expense,adjective
3019,expend,expense,verb
3020,expensively,expense,adverb
3021,expenditure,expensive,noun
3022,expense,expensive,noun
3023,expensive,expensive,adjective
3024,inexpensive,expensive,adjective
3025,expend,expensive,verb
3026,expensively,expensive,adverb
3027,experience,experience,noun
3028,inexperience,experience,noun
3029,experienced,experience,adjective
3030,inexperienced,experience,adjective
3031,experience,experience,verb
3032,experience,experienced,noun
3033,inexperience,experienced,noun
3034,experienced,experienced,adjective
3035,inexperienced,experienced,adjective
3036,experience,experienced,verb
3037,experiment,experiment,noun
3038,experimental,experiment,adjective
3039,experiment,experiment,verb
3040,experimentally,experiment,adverb
3041,experiment,experimental,noun
3042,experimental,experimental,adjective
3043,experiment,experimental,verb
3044,experimentally,experimental,adverb
3045,expert,expert,noun
3046,expertise,expert,noun
3047,expert,expert,adjective
3048,inexpert,expert,adjective
3049,expertly,expert,adverb
3050,explanation,explain,noun
3051,explaining,explain,noun
3052,unexplained,explain,adjective
3053,explanatory,explain,adjective
3054,explicable,explain,adjective
3055,inexplicable,explain,adjective
3056,explain,explain,verb
3057,inexplicably,explain,adverb
3058,explanation,explanation,noun
3059,explaining,explanation,noun
3060,unexplained,explanation,adjective
3061,explanatory,explanation,adjective
3062,explicable,explanation,adjective
3063,inexplicable,explanation,adjective
3064,explain,explanation,verb
3065,inexplicably,explanation,adverb
3066,explosion,explode,noun
3067,explosive,explode,noun
3068,explosive,explode,adjective
3069,exploding,explode,adjective
3070,explode,explode,verb
3071,explosively,explode,adverb
3072,exploration,exploration,noun
3073,explorer,exploration,noun
3074,exploratory,exploration,adjective
3075,explore,exploration,verb
3076,exploration,explore,noun
3077,explorer,explore,noun
3078,exploratory,explore,adjective
3079,explore,explore,verb
3080,explosion,explosion,noun
3081,explosive,explosion,noun
3082,explosive,explosion,adjective
3083,exploding,explosion,adjective
3084,explode,explosion,verb
3085,explosively,explosion,adverb
3086,explosion,explosive,noun
3087,explosive,explosive,noun
3088,explosive,explosive,adjective
3089,exploding,explosive,adjective
3090,explode,explosive,verb
3091,explosively,explosive,adverb
3092,expression,express,noun
3093,expressive,express,adjective
3094,express,express,verb
3095,expressively,express,adverb
3096,expression,expression,noun
3097,expressive,expression,adjective
3098,express,expression,verb
3099,expressively,expression,adverb
3100,expression,expressive,noun
3101,expressive,expressive,adjective
3102,express,expressive,verb
3103,expressively,expressive,adverb
3104,extreme,extreme,noun
3105,extremism,extreme,noun
3106,extremist,extreme,noun
3107,extremity,extreme,noun
3108,extreme,extreme,adjective
3109,extremist,extreme,adjective
3110,extremely,extreme,adverb
3111,extreme,extremely,noun
3112,extremism,extremely,noun
3113,extremist,extremely,noun
3114,extremity,extremely,noun
3115,extreme,extremely,adjective
3116,extremist,extremely,adjective
3117,extremely,extremely,adverb
3118,extreme,extremist,noun
3119,extremism,extremist,noun
3120,extremist,extremist,noun
3121,extremity,extremist,noun
3122,extreme,extremist,adjective
3123,extremist,extremist,adjective
3124,extremely,extremist,adverb
3125,fact,fact,noun
3126,factual,fact,adjective
3127,factually,fact,adverb
3128,failure,fail,noun
3129,fail,fail,noun
3130,unfailing,fail,adjective
3131,fail,fail,verb
3132,unfailingly,fail,adverb
3133,failure,failure,noun
3134,fail,failure,noun
3135,unfailing,failure,adjective
3136,fail,failure,verb
3137,unfailingly,failure,adverb
3138,fairness,fair,noun
3139,fair,fair,adjective
3140,unfair,fair,adjective
3141,fairly,fair,adverb
3142,unfairly,fair,adverb
3143,fairness,fairly,noun
3144,fair,fairly,adjective
3145,unfair,fairly,adjective
3146,fairly,fairly,adverb
3147,unfairly,fairly,adverb
3148,fairness,fairness,noun
3149,fair,fairness,adjective
3150,unfair,fairness,adjective
3151,fairly,fairness,adverb
3152,unfairly,fairness,adverb
3153,faith,faith,noun
3154,faithfulness,faith,noun
3155,faithful,faith,adjective
3156,unfaithful,faith,adjective
3157,faithfully,faith,adverb
3158,faith,faithful,noun
3159,faithfulness,faithful,noun
