,word,part_of_speech,transcription,hint,lvl,label,definition,examples,order_num,root_word
3542,developer ,noun,/dɪˈvel.ə.pər/,LAND,C2,C,someone who buys land or buildings to improve them and sell them for more money,['All the land was bought up by developers.'],1553,developer
3543,developing,adjective,/dɪˈvel.ə.pɪŋ/,,B2,,describes a country or region of the world which is poor and has few industries,['the developing world/countries/nations'],1554,developing
3544,development ,noun,/dɪˈvel.əp.mənt/,CHANGE,B1,U,when someone or something grows or changes and becomes more advanced,"['healthy growth and development', 'The programme traced the development of popular music through the ages.', 'a development project in Pakistan']",1555,development
3545,development ,noun,/dɪˈvel.əp.mənt/,PROCESS,B1,U,the process of developing something new,"['the development of new drugs', 'Mr Berkowitz is in charge of product development.']",1555,development
3546,development ,noun,/dɪˈvel.əp.mənt/,EVENT,B2,C,something new that happens and changes a situation,"['an important development in the fuel crisis', 'Phone me if there are any new developments.']",1555,development
3547,development ,noun,/dɪˈvel.əp.mənt/,START,C2,U,when something starts to happen or exist,['Smoking encourages the development of cancer.'],1555,development
3548,device,noun,/dɪˈvaɪs/,,B2,C,a piece of equipment that is used for a particular purpose,"['an electronic device', 'Rescuers used a special device for finding people trapped in collapsed buildings.']",1556,device
3549,leave someone to their own devices,noun,/dɪˈvaɪs/,,C2,C,to leave someone to do what they want to do,"['With both parents out at work, the kids were often left to their own devices.']",1556,device
3550,devil ,noun,/ˈdev.əl/,EVIL BEING,B2,C,"an evil being, often represented in human form but with a tail and horns",[],1557,devil
3551,devil ,noun,/ˈdev.əl/,BADLY-BEHAVED PERSON,C2,C,someone who behaves badly,"[""He's an absolute devil!""]",1557,devil
3552,devise,verb,/dɪˈvaɪz/,,C2,T,"to design or invent something such as a system, plan, or piece of equipment",['She devised a plan to make money.'],1558,devise
3553,devote sth to sb/sth ,verb,/dɪˈvəʊt/,USE TIME,B2,,"to use time, energy, etc. for a particular purpose",['He resigned from his job to devote more time to his family.'],1559,devote
3554,devote sth to sb/sth ,verb,/dɪˈvəʊt/,USE SPACE,B2,often passive,to use a space or area for a particular purpose,['Most of the magazine was devoted to celebrity gossip.'],1559,devote
3555,devote yourself to sth,verb,/dɪˈvəʊt/,,C1,,to spend all your time or energy doing something that you think is important,['He retired in 1814 to devote himself to social reforms.'],1559,devote
3556,devoted,adjective,/dɪˈvəʊ.tɪd/,,B2,,extremely loving or caring very much about someone or something,"['a devoted fan/husband/wife', 'Lucy is devoted to her cats.']",1560,devoted
3557,diagnose,verb,/ˈdaɪ.əg.nəʊz/,,C2,T,to say what is wrong with someone who is ill,['She was diagnosed with/as having cancer last year.'],1561,diagnose
3558,diagnosis,noun,/ˌdaɪ.əgˈnəʊ.sɪs/,,C2,C or U,when a doctor says what is wrong with someone who is ill,"[""What's the diagnosis?""]",1562,diagnosis
3559,diagram,noun,/ˈdaɪ.ə.græm/,,B1,C,a simple picture showing what something looks like or explaining something,['The teacher drew a diagram showing how the blood flows through the heart.'],1563,diagram
3560,dial,verb,/ˈdaɪ.əl/,,B1,I or T,to make a telephone call to a particular number,"['Can I dial this number direct, or do I have to go through the operator?', 'Dial 0 for the switchboard.']",1564,dial
3561,dialect,noun,/ˈdaɪ.ə.lekt/,,C2,C or U,a form of a language that people speak in a particular part of a country,"[""They're speaking a local dialect.""]",1565,dialect
3562,dialogue ,noun,/ˈdaɪ.ə.lɒg/,"IN BOOK, ETC.",B2,C or U,"(a) conversation which is written for a book, play or film","['The play contained some very funny dialogue.', 'Act Two begins with a short dialogue between father and son.']",1566,dialogue
3563,dialogue ,noun,/ˈdaɪ.ə.lɒg/,DISCUSSION,C2,C or U,a formal discussion between countries or groups of people,['We need to enter into a dialogue with these people.'],1566,dialogue
3564,diamond ,noun,/ˈdaɪə.mənd/,STONE,B2,C or U,"an extremely hard valuable stone which is used in jewellery, and in industry for cutting hard things","['a diamond ring/necklace', 'He had worked in the diamond mines of South Africa.']",1567,diamond
3565,diamond ,noun,/ˈdaɪə.mənd/,SHAPE,B2,C,"a shape with four straight sides of equal length, forming two opposite angles which are wide and two which are narrow","[""Joe's socks had diamond patterns on them.""]",1567,diamond
3566,diarrhoea,noun,/ˌdaɪəˈrɪə/,,C2,U,"an illness in which your solid waste is more liquid than usual, and comes out of your body more often",['She has got diarrhoea.'],1568,diarrhoea
3567,diary ,noun,/ˈdaɪə.ri/,FOR THOUGHTS,A2,C,"a book in which a person writes a private record of events, thoughts, feelings, etc","['I write down my thoughts in my diary every night.', ""I've kept a diary since I was a little girl.""]",1569,diary
3568,diary ,noun,/ˈdaɪə.ri/,FOR ARRANGEMENTS,A2,C,"a book containing spaces for all the days and months of the year, in which you write down your future arrangements, meetings, etc","[""I'll check my diary and see when I'm free."", ""Don't forget to write the date of the meeting in your diary.""]",1569,diary
3569,dice,noun,/daɪs/,,C2,C,"a small object with six equal square sides, each with between one and six spots on it, used in games",['Roll the dice to see who starts the game.'],1570,dice
3570,dice,verb,/daɪs/,,C2,T,"to cut food into small, square pieces",['diced onions'],1570,dice
3571,dictate,verb,/dɪkˈteɪt/,,C1,,to decide or control what happens,['The weather will dictate where we hold the party.'],1571,dictate
3572,dictionary,noun,/ˈdɪk.ʃən.ər.i/,,A1,C,"a book that contains a list of words in alphabetical order with their meanings explained or written in another language, or a similar product for use on a computer","['a French-English/English-French dictionary', 'a bilingual/monolingual dictionary', 'To check how a word is spelt, look it up in a dictionary.']",1572,dictionary
3573,die,verb,/daɪ/,,A1,I,to stop living or existing,"['Twelve people died in the accident.', 'She died of/from hunger/cancer/a heart attack/her injuries.', 'It is a brave person who will die for their beliefs.', 'Our love will never die.']",1573,die
3574,be dying for/to do sth (),verb,/daɪ/,,B1,I,to be extremely eager to have or do something,"[""I'm dying to hear your news."", ""I'm dying for a cup of tea.""]",1573,die
3575,die down,verb,/daɪ/,,C2,I,"If something, especially noise or excitement, dies down, it gradually becomes less loud or strong until it stops",['She waited for the laughter to die down before she spoke.'],1573,die
3576,die out,verb,/daɪ/,,B2,I,to become more and more rare and then disappear completely,['Dinosaurs died out about 65 million years ago.'],1573,die
3577,diesel,noun,/ˈdiː.zəl/,,C1,U,"fuel used in the engines of some vehicles, especially buses and trucks",['We need to stop for some diesel.'],1574,diesel
3578,diet ,noun,/ˈdaɪ.ət/,USUAL FOOD,B1,C or U,the type of food that someone usually eats,"['a healthy/balanced diet', 'The children seem to exist on a diet of burgers and chips.']",1575,diet
3579,diet ,noun,/ˈdaɪ.ət/,WEIGHT LOSS,B1,C,"when someone eats less food, or only particular types of food, because they want to become thinner or for medical reasons","[""I'm going on a diet next week and hope to lose two kilos before Christmas."", 'The doctor put me on a low-salt diet to reduce my blood pressure.']",1575,diet
3580,differ,verb,/ˈdɪf.ər/,,B2,I,"to be not like something or someone else, either physically or in another way","['The twins look alike, but they differ in personality.', 'His views differ considerably from those of his parents.', 'The findings of the various studies differ greatly/widely.']",1576,differ
3581,difference ,noun,/ˈdɪf.ər.ənts/,WAY,A2,C or U,the way in which two people or things are not the same,"[""What's the difference between an ape and a monkey?""]",1577,difference
3582,difference ,noun,/ˈdɪf.ər.ənts/,AMOUNT,B1,C or U,the amount by which one thing is different from another,"['a(n) age/price/temperature difference', ""There's a big difference in age between them.""]",1577,difference
3583,make a (big) difference (),noun,/ˈdɪf.ər.ənts/,,B2,C or U,to improve a situation (a lot),['Exercise can make a big difference to your health.'],1577,difference
3584,make no difference/not make any difference (),noun,/ˈdɪf.ər.ənts/,,B2,C or U,to not be important or change a situation,"[""You can ask him again if you like, but it won't make any difference - he'll still say no."", ""It makes no difference where you put the aerial, the TV picture's still bad.""]",1577,difference
3585,difference ,noun,/ˈdɪf.ər.ənts/,DISAGREEMENT,C2,C,a disagreement or different opinion,['They must try to resolve their differences peacefully.'],1577,difference
3586,tell the difference (),noun,/ˈdɪf.ər.ənts/,,C1,C or U,to notice a difference between two things,"[""I can't tell the difference between an American and a Canadian accent.""]",1577,difference
3587,different ,adjective,/ˈdɪf.ər.ənt/,NOT SAME,A1,always before noun,not the same,"['She seems to wear something different every day.', ""We're reading a different book this week."", 'Emily is very/completely different from her sister.', ""That's totally different to my experience at school."", 'There are many different types/kinds of bacteria.']",1578,different
3588,different ,adjective,/ˈdɪf.ər.ənt/,SEPARATE,B1,always before noun,used to talk about separate things or people of the same type,['I had to go to three different shops to find the book she wanted.'],1578,different
3589,differentiate ,verb,/ˌdɪf.ərˈen.ʃi.eɪt/,SEE DIFFERENCE,C1,I or T,to understand or notice how two things or people are different from each other,"[""He can't differentiate between blue and green.""]",1579,differentiate
3590,differentiate ,verb,/ˌdɪf.ərˈen.ʃi.eɪt/,MAKE DIFFERENT,C2,T,to make someone or something different,['We need to differentiate ourselves from the competition.'],1579,differentiate
3591,differently,adverb,/ˈdɪf.ər.ənt.li/,,B1,,in a different way,"['We want to do things differently.', 'Are girls treated differently?']",1580,differently
3592,difficult ,adjective,/ˈdɪf.ɪ.kəlt/,NOT EASY,A1,,when something is not easy to do or understand,"['a difficult problem/choice/task', 'It will be very difficult to prove that they are guilty.', 'Many things make it difficult for women to reach the top in business.', 'He finds it extremely difficult being a single parent.']",1581,difficult
3593,difficult ,adjective,/ˈdɪf.ɪ.kəlt/,NOT FRIENDLY,B1,,not friendly or easy to deal with,"['The manager is difficult to deal with/a difficult person to deal with.', 'His wife is a very difficult person.', ""Please children, don't be so difficult!""]",1581,difficult
3594,put sb in a difficult position,adjective,/ˈdɪf.ɪ.kəlt/,,C1,,to cause someone to be in a difficult situation,['When two of your best friends argue it puts you in a very difficult position.'],1581,difficult
3595,difficulty ,noun,/ˈdɪf.ɪ.kəl.ti/,NOT EASY,B1,U,when something is not easy to do or understand,"['We finished the job, but only with great difficulty.', 'The difficulty of the task excited them.', 'She had great difficulty finding a job.']",1582,difficulty
3596,difficulty ,noun,/ˈdɪf.ɪ.kəl.ti/,PROBLEM,B2,C,something that is not easy to deal with,"['financial difficulties', 'to have/experience difficulties', 'children with learning difficulties']",1582,difficulty
3597,dig,verb,/dɪg/,,B1,I or T,"to break up and move soil using a tool, a machine or your hands",['Digging (in) the garden is good exercise.'],1583,dig
3598,dig a hole/tunnel,verb,/dɪg/,,B2,I or T,to form a hole by moving soil,"['The tunnel was dug with the aid of heavy machinery.', 'The dog was digging a hole to hide its bone in.']",1583,dig
3599,digest ,verb,/daɪˈdʒest/,FOOD,C1,T,to change food in your stomach into substances that your body can use,['I need some time to digest my dinner.'],1584,digest
3600,digest ,verb,/daɪˈdʒest/,INFORMATION,C1,T,to think about new information carefully in order to understand it,['You need to give me time to digest this report.'],1584,digest
3601,digestion,noun,/daɪˈdʒest.ʃən/,,C1,U,when your body changes food in your stomach into substances that it can use,['He has problems with his digestion.'],1585,digestion
3602,digital ,adjective,/ˈdɪdʒ.ɪ.təl/,SYSTEM,A2,,using an electronic system that changes sounds or images into signals in the form of numbers before it stores them or sends them,"['digital data', 'a digital recording', 'digital TV']",1586,digital
3603,digital ,adjective,/ˈdɪdʒ.ɪ.təl/,DISPLAY,B1,,showing information in the form of an electronic image,"['a digital clock/display', 'a digital watch']",1586,digital
3604,digital camera,noun,/ˌdɪdʒ.ɪ.təlˈkæm.rə/,,A2,C,a type of camera that records images that you can use and store on a computer,['These days almost everyone uses a digital camera.'],1587,digital camera
3605,dignified,adjective,/ˈdɪɡ.nɪ.faɪd/,,C2,,"calm, serious, and behaving in a way that makes people respect you","['a quiet, dignified woman']",1588,dignified
3606,dignity,noun,/ˈdɪg.nə.ti/,,C2,U,calm and serious behaviour that makes people respect you,['He behaved with great dignity and courage.'],1589,dignity
3607,beneath your dignity,noun,/ˈdɪg.nə.ti/,,C2,U,"If it is beneath your dignity to do something, you think you are too important or from too high a class to do it",['She felt that it was beneath her dignity to wear a name badge.'],1589,dignity
3608,dilemma,noun,/daɪˈlem.ə/,,B2,C,a situation in which a difficult choice has to be made between two different things you could do,"['The President is clearly in a dilemma about/over how to tackle the crisis.', 'She faces the dilemma of disobeying her father or losing the man she loves.', 'a moral/ethical dilemma']",1590,dilemma
3609,dim,adjective,/dɪm/,,C2,,not bright or clear,['He could hardly see her in the dim light.'],1591,dim
3610,"a dim memory/recollection, etc.",adjective,/dɪm/,,C2,,"when you can remember something slightly, but not very well",['I have a dim memory of meeting her at a party.'],1591,dim
3611,dim,verb,/dɪm/,,C2,I or T,"to become less bright, or to make something become less bright",['He dimmed the lights and turned up the music.'],1591,dim
3612,dimension ,noun,/ˌdaɪˈmen.tʃən/,ASPECT,B2,C,"a particular part of a situation, especially something that affects how you think or feel",['Music has added a new dimension to my life.'],1592,dimension
3613,dimension ,noun,/ˌdaɪˈmen.tʃən/,MEASUREMENT,B2,C,"a measurement of the length, width, or height of something",['The dimensions of the photo should be no larger than 30cm by 20cm.'],1592,dimension
3614,diminish,verb,/dɪˈmɪn.ɪʃ/,,C1,I or T,"to become less, or to make something become less",['Your pain should diminish gradually after taking these tablets.'],1593,diminish
3615,dining room,noun,/ˈdaɪ.nɪŋˌruːm/,,A1,C,a room in which meals are eaten,['We ate in the dining room.'],1594,dining room
3616,dinner,noun,/ˈdɪn.ər/,,A1,C or U,the main meal of the day that people usually eat in the evening,"['We were just having (our) dinner.', 'We had some friends round for dinner on Saturday.', 'a romantic candlelit dinner']",1595,dinner
3617,dinosaur,noun,/ˈdaɪ.nə.sɔːr/,,A2,C,a very large animal that used to live millions of years ago,['So why did the dinosaurs die out?'],1596,dinosaur
3618,dip ,verb,/dɪp/,PUT INTO LIQUID,B2,T,to put something into a liquid for a short time,"['Dip the fish in the batter, then drop it into the hot oil.', 'She dipped her toe into the pool to see how cold it was.']",1597,dip
3619,dip ,verb,/dɪp/,BECOME LOWER,B2,I,to become lower in level or amount,['The number of students taking sciences has dipped sharply.'],1597,dip
3620,diploma,noun,/dɪˈpləʊ.mə/,,A2,C,"a qualification from a school, college or university, or an official document showing that someone has completed a course of study",['a diploma in marketing'],1598,diploma
3621,diplomacy ,noun,/dɪˈpləʊ.mə.si/,COUNTRIES,C2,U,dealing with the relationships between governments,['international diplomacy'],1599,diplomacy
3622,diplomacy ,noun,/dɪˈpləʊ.mə.si/,PEOPLE,C2,U,skill in dealing with people well and not upsetting them,['She showed great tact and diplomacy in the meeting.'],1599,diplomacy
3623,diplomat,noun,/ˈdɪp.lə.mæt/,,B2,C,"an official whose job is to represent one country in another, and who usually works in an embassy",['a Spanish/British diplomat'],1600,diplomat
3624,diplomatic ,adjective,/ˌdɪp.ləˈmæt.ɪk/,GOVERNMENTS,C1,,relating to diplomacy or diplomats,['diplomatic relations'],1601,diplomatic
3625,diplomatic ,adjective,/ˌdɪp.ləˈmæt.ɪk/,PEOPLE,C2,,good at dealing with people without upsetting them,"[""That's a very diplomatic answer.""]",1601,diplomatic
3626,diplomatically,adverb,/ˌdɪp.ləˈmæt.ɪ.kli/,,C2,,in a way that deals well with people without upsetting them,['He phrased his question very diplomatically.'],1602,diplomatically
3627,direct ,adjective,/daɪˈrekt/,STRAIGHT,B1,,going straight from one place to another without stopping or changing direction,"['a direct route/line', 'Is there a direct train to Edinburgh?']",1603,direct
3628,direct ,adjective,/daɪˈrekt/,NOTHING BETWEEN,B2,,with no other person or thing involved or between,"['She decided to take direct control of the project.', 'Have you any direct experience of this kind of work?', 'He left as a direct result/consequence of what she said.', 'There is a direct link/connection between smoking and lung cancer.']",1603,direct
3629,direct ,adjective,/daɪˈrekt/,CLEAR,C1,,saying clearly and honestly what you think,['a direct answer'],1603,direct
3630,direct ,verb,/daɪˈrekt/,FILM/PLAY,B1,I or T,to tell the actors in a film or play what to do,"['He wanted to give up acting and start directing (his own films).', ""'Jaws' was directed by Steven Spielberg.""]",1603,direct
3631,direct ,verb,/daɪˈrekt/,ROUTE,B1,T,to show or tell someone how to get to a place,"[""Can you direct me to the manager's office please?""]",1603,direct
3632,"direct sth against/at/towards, etc. sb/sth",verb,/daɪˈrekt/,,C1,I or T,to aim something at someone or something,"[""The demonstrators' anger was directed at the police.""]",1603,direct
3633,direct ,verb,/daɪˈrekt/,ORGANIZE,C1,T,to organize and control the way something is done,['He directed the building of the new art gallery.'],1603,direct
3634,direction ,noun,/daɪˈrek.ʃən/,WAY,B1,C,the way that someone or something is moving or facing,"['""No, go that way,"" I said, pointing in the opposite direction.', 'He was going in the direction of the bedroom.', 'They drove away in opposite directions.']",1604,direction
3635,in sb's direction,noun,/daɪˈrek.ʃən/,,B2,C,towards someone,['She keeps looking in my direction.'],1604,direction
3636,direction ,noun,/daɪˈrek.ʃən/,CONTROL,C1,U,control or instructions,['Under his direction the company has doubled its profits.'],1604,direction
3637,direction ,noun,/daɪˈrek.ʃən/,DEVELOPMENT,C2,C,the way that someone or something changes or develops,['Our careers have gone in very different directions.'],1604,direction
3638,directions,noun,/daɪˈrek.ʃənz/,,A2,plural,"instructions that tell you how to get to a particular place, or how to do something","['Can you give me directions to your house?', '""Did you have any difficulty finding the theatre?"" ""No, your directions were excellent.""', 'Just follow the directions on the label.']",1605,directions
3639,directly ,adverb,/daɪˈrekt.li/,NOTHING BETWEEN,B1,,with no other person or thing involved or in between,"['Our hotel room was directly above a building site.', 'The disease is directly linked to poor drainage systems.', 'The sun shone directly in my eyes.']",1606,directly
3640,directly ,adverb,/daɪˈrekt.li/,CLEARLY,B2,,clearly and honestly,['Let me answer that question directly.'],1606,directly
3641,director ,noun,/daɪˈrek.tər/,MANAGER,B1,C,an important manager in an organization or company,"['the board of directors', 'She has become the director of the new information centre.']",1607,director
3642,director ,noun,/daɪˈrek.tər/,FILM/PLAY,B1,C,someone who tells the actors in a film or play what to do,['a famous film/movie director'],1607,director
3643,directory,noun,/dɪˈrekt.ər.i/,,C1,C,"a book or list of names, numbers, or other facts",['I looked in the telephone directory.'],1608,directory
3644,dirt,noun,/dɜːt/,,B1,U,"dust, soil or any substance that makes a surface not clean",['His coat was covered with dirt.'],1609,dirt
3645,dirty,adjective,/ˈdɜː.ti/,,A2,,not clean,['Her face was dirty and tear-stained.'],1610,dirty
3646,disability,noun,/ˌdɪs.əˈbɪl.ə.ti/,,B2,C or U,"an illness, injury or condition that makes it difficult for someone to do the things that other people do","['a physical/learning disability', 'Trying to change attitudes to disability is a real struggle.']",1611,disability
3647,disabled,adjective,/dɪˈseɪ.bl ̩d/,,B1,,"having an illness, injury or condition that makes it difficult to do the things that most people do","['The accident left him severely disabled.', 'The library does not have disabled access.']",1612,disabled
3648,disadvantage,noun,/ˌdɪs.ədˈvɑːn.tɪdʒ/,,B1,C,"something which makes a situation more difficult, or makes you less likely to succeed","['One disadvantage of living in the town is the lack of safe places for the children to play.', 'We need to consider whether the disadvantages of the plan outweigh the advantages.']",1613,disadvantage
3649,at a disadvantage,noun,/ˌdɪs.ədˈvɑːn.tɪdʒ/,,C2,C,having problems that other people do not have,['Being shy puts him at a disadvantage.'],1613,disadvantage
3650,disadvantaged,adjective,/ˌdɪs.ədˈvɑːn.tɪdʒd/,,C1,,Disadvantaged people are poor and do not have many opportunities,['economically disadvantaged children'],1614,disadvantaged
3651,disagree,verb,/ˌdɪs.əˈgriː/,,B1,I,to have a different opinion from someone else about something,"['I disagree with most of what he said.', 'Experts disagree about / on the causes of the disease.', 'Few people would disagree that something should be done to reduce the level of crime in the area.', 'I strongly disagree with the decision that has been taken.']",1615,disagree
3652,disagreement,noun,/ˌdɪs.əˈgriː.mənt/,,B2,C or U,when people have a different opinion about something or have an argument,"['They had a disagreement about/over money.', 'There was some disagreement with this view.', 'Literary critics were in total disagreement about the book.']",1616,disagreement
3653,disappear ,verb,/ˌdɪs.əˈpɪər/,NOT SEE,B1,I,to become impossible to see,"['The sun disappeared behind a cloud.', 'We looked for her but she had disappeared into the crowd.']",1617,disappear
3654,disappear ,verb,/ˌdɪs.əˈpɪər/,NOT FIND,B1,I,to become impossible to find,"['She disappeared from her home over a month ago.', ""I can't find my keys anywhere - they've completely disappeared.""]",1617,disappear
3655,disappear ,verb,/ˌdɪs.əˈpɪər/,STOP EXISTING,B2,I,to no longer exist,"['These flowers are disappearing from our countryside.', 'This is a way of life that is fast disappearing.']",1617,disappear
3656,disappearance,noun,/ˌdɪs.əˈpɪə.rənts/,,B2,C or U,when someone or something disappears,['A man was being questioned in connection with her disappearance.'],1618,disappearance
3657,disappoint,verb,/ˌdɪs.əˈpɔɪnt/,,B1,T,to make someone feel unhappy because someone or something was not as good as they had expected,"[""I'm sorry to disappoint you, but I'm afraid I can't come after all."", ""We don't want to disappoint the fans.""]",1619,disappoint
3658,disappointed,adjective,/ˌdɪs.əˈpɔɪn.tɪd/,,B1,,"unhappy because someone or something was not as good as you hoped or expected, or because something did not happen","[""She was disappointed (that) they hadn't phoned."", 'We were deeply disappointed at/about the result.', 'His parents were bitterly disappointed in/with him.', ""He was disappointed to find they'd already gone.""]",1620,disappointed
3659,disappointing,adjective,/ˌdɪs.əˈpɔɪn.tɪŋ/,,B1,,making you feel disappointed,"['What a disappointing performance/result!', 'The response to our advertisement has been very disappointing.']",1621,disappointing
3660,disappointment ,noun,/ˌdɪs.əˈpɔɪnt.mənt/,FEELING,B1,U,the feeling of being disappointed,"['Book early to avoid disappointment.', 'To my (great) disappointment, he decided to leave.']",1622,disappointment
3661,disappointment ,noun,/ˌdɪs.əˈpɔɪnt.mənt/,PERSON/THING,B1,C,something or someone that disappoints you,"['The party turned out to be a big / huge / great disappointment.', ""I'm afraid I've been rather a disappointment to my parents.""]",1622,disappointment
3662,disapproval,noun,/ˌdɪs.əˈpruː.vəl/,,C1,U,when you think that someone or something is bad or wrong,['I could sense their disapproval.'],1623,disapproval
3663,disapprove,verb,/ˌdɪs.əˈpruːv/,,B2,I,to feel that something or someone is bad or wrong,"['The survey showed that 32% of respondents approve, 54% disapprove and the rest are undecided.', 'I strongly disapprove of under-age drinking.']",1624,disapprove
3664,disaster ,noun,/dɪˈzɑː.stər/,DAMAGE,B2,C or U,something that causes great harm or damage,"['An inquiry was ordered into the recent rail disaster.', 'This is one of the worst natural disasters ever to hit the area.', 'Everything was going smoothly until suddenly disaster struck.']",1625,disaster
3665,disaster ,noun,/dɪˈzɑː.stər/,FAILURE,B2,C or U,something that is a failure or has a negative result,"['His idea was a total disaster.', 'Inviting James and Ivan to dinner on the same evening was a recipe for disaster - they always argue with each other.']",1625,disaster
3666,disastrous,adjective,/dɪˈzɑːs.trəs/,,C1,,extremely bad,"['disastrous consequences', 'a disastrous week']",1626,disastrous
3667,disc ,noun,/dɪsk/,RECORDING,B1,C,a CD,['Both songs are on their latest disc.'],1627,disc
3668,disc ,noun,/dɪsk/,SHAPE,B2,C,"a flat, round shape or object","['The dog had a small, metal disc attached to its collar.']",1627,disc
3669,disc ,noun,/dɪsk/,BACK,C2,C,a piece of cartilage between the bones in your back,['a slipped disc'],1627,disc
3670,discipline ,noun,/ˈdɪs.ə.plɪn/,RULES,B2,U,when people's behaviour is controlled using rules and punishments,"['parental/military/school discipline', 'There should be better discipline in schools.']",1628,discipline
3671,discipline ,noun,/ˈdɪs.ə.plɪn/,SELF CONTROL,C1,U,when you can control your own behaviour carefully,"[""I don't have enough discipline to save money.""]",1628,discipline
3672,discipline ,noun,/ˈdɪs.ə.plɪn/,KNOWLEDGE,C2,C,a particular subject of study,['the scientific disciplines'],1628,discipline
3673,disc jockey,noun,/ˈdɪskˌdʒɒk.i/,,B1,C,someone who plays music on the radio or at live events,['a radio 2 disc jockey'],1629,disc jockey
3674,disclose,verb,/dɪsˈkləʊz/,,C2,T,to give new or secret information to someone,['He refused to disclose details of the report.'],1630,disclose
3675,disco,noun,/ˈdɪs.kəʊ/,,A2,C,a place or event where people dance to pop music,['disco lights'],1631,disco
3676,discomfort ,noun,/dɪˈskʌm.fət/,PAIN,C2,U,slight pain,['You may feel some discomfort for a few days.'],1632,discomfort
3677,discomfort ,noun,/dɪˈskʌm.fət/,SITUATION,C1,C or U,a physically uncomfortable situation,['They travelled in great discomfort.'],1632,discomfort
3678,discomfort ,noun,/dɪˈskʌm.fət/,MENTAL FEELING,C2,U,when you feel slightly embarrassed or anxious,['I could see that the talk of divorce was causing her some discomfort.'],1632,discomfort
3679,discontent,noun,/ˌdɪs.kənˈtent/,,C1,U,unhappiness about a situation,['There is growing discontent with this government.'],1633,discontent
3680,discount,noun,/ˈdɪs.kaʊnt/,,A2,C,a reduction in price,"['They usually give you a discount if you buy multiple copies.', 'They offer a 10 percent discount on rail travel for students.']",1634,discount
3681,discourage ,verb,/dɪˈskʌr.ɪdʒ/,MAKE LESS CONFIDENT,B2,T,to make someone less confident or enthusiastic about something,['The thought of how much work she had to do discouraged her.'],1635,discourage
3682,discourage sb from doing sth,verb,/dɪˈskʌr.ɪdʒ/,,B2,T,to try to persuade someone not to do something,['Her parents tried to discourage her from seeing him.'],1635,discourage
3683,discourage ,verb,/dɪˈskʌr.ɪdʒ/,PREVENT,C2,T,to try to prevent something from happening,['a campaign to discourage smoking'],1635,discourage
3684,discover,verb,/dɪˈskʌv.ər/,,B1,T,"to find out something or to find a place or an object, especially for the first time","['Who discovered America?', 'Scientists have discovered how to predict an earthquake.', 'We searched all morning for the missing papers and finally discovered them in a drawer.', 'She discovered (that) her husband was having an affair.']",1636,discover
3685,discovery ,noun,/dɪˈskʌv.ər.i/,FINDING,B2,C or U,when someone discovers something,"['the discovery of electricity', 'Leonardo made many scientific discoveries.', 'a journey/voyage of discovery', 'The discovery of a body in the woods started a murder enquiry.']",1637,discovery
3686,discovery ,noun,/dɪˈskʌv.ər.i/,THING/PERSON,C1,C,something or someone that is discovered,"[""I've made a great discovery!""]",1637,discovery
3687,discreet,adjective,/dɪˈskriːt/,,C2,,careful not to cause embarrassment or attract too much attention,['Can I trust you to be discreet?'],1638,discreet
3688,discretion,noun,/dɪˈskreʃ.ən/,,C2,U,"when someone is careful not to cause embarrassment or attract too much attention, especially by keeping something secret",['You can rely on my discretion.'],1639,discretion
3689,discriminate ,verb,/dɪˈskrɪm.ɪ.neɪt/,TREAT UNFAIRLY,C1,I,"to treat someone unfairly because of their sex, race, religion, etc",['The company was accused of discriminating against people on the basis of age.'],1640,discriminate
3690,discriminate ,verb,/dɪˈskrɪm.ɪ.neɪt/,NOTICE,C2,I,to notice a difference between two things,['Police dogs are very good at discriminating between different smells.'],1640,discriminate
3691,discrimination,noun,/dɪˌskrɪm.ɪˈneɪ.ʃən/,,C1,U,"when someone is treated unfairly because of their sex, race, religion, etc","['racial/sex/sexual discrimination', 'discrimination against older workers']",1641,discrimination
3692,discuss,verb,/dɪˈskʌs/,,A2,T,to talk about something with someone and tell each other your ideas or opinions,['Have you discussed this matter with anyone else?'],1642,discuss
3693,discussion,noun,/dɪˈskʌʃ.ən/,,B1,C or U,when people talk about something and tell each other their ideas or opinions,"['They were having a discussion about football.', 'I can say nothing - the matter is still under discussion.', 'Management are holding/having discussions with the union about possible redundancies.']",1643,discussion
3694,disease,noun,/dɪˈziːz/,,B1,C or U,(an) illness caused by infection or by a failure of health rather than by an accident,"['heart disease', 'a common/rare disease', 'They reported a sudden outbreak of the disease in the south of the country.', 'The first symptom of the disease is a very high temperature.', 'Starvation and disease have killed thousands of refugees.']",1644,disease
3695,disgrace,noun,/dɪsˈgreɪs/,,B2,U,"when someone does something very bad that makes people stop respecting them or their family, team, etc","['They were sent home in disgrace.', 'He brought disgrace on the whole team.']",1645,disgrace
3696,be a disgrace (),noun,/dɪsˈgreɪs/,,B2,U,to be very bad,"[""It's a disgrace that money is being wasted like this.""]",1645,disgrace
3697,be a disgrace to sb/sth,noun,/dɪsˈgreɪs/,,C2,U,"to be so bad or unacceptable that you make people stop respecting a particular group, activity, etc",['You are a disgrace to your profession.'],1645,disgrace
3698,disguise,noun,/dɪsˈgaɪz/,,B2,C or U,clothes and other things that you wear to change the way you look so that people cannot recognize you,['She usually goes out in disguise to avoid being bothered by the public.'],1646,disguise
